0.000027 , 0.000008 , 0.000006 , 0.000007 , 0.000006 , 0.000007 , 0.000006 , 0.000007 , 0.000007 , 0.000006
0.000008 , 0.000008 , 0.000008 , 0.000009 , 0.000008 , 0.000008 , 0.000008 , 0.000008 , 0.000008 , 0.000008
0.000012 , 0.000013 , 0.000011 , 0.000013 , 0.000011 , 0.000012 , 0.000012 , 0.000012 , 0.000012 , 0.000012
0.000019 , 0.000018 , 0.000018 , 0.000018 , 0.000017 , 0.000018 , 0.000017 , 0.000018 , 0.000018 , 0.000017
0.000029 , 0.000029 , 0.000028 , 0.000029 , 0.000028 , 0.000028 , 0.000029 , 0.000028 , 0.000029 , 0.000027
0.000050 , 0.000081 , 0.000064 , 0.000050 , 0.000049 , 0.000050 , 0.000050 , 0.000049 , 0.000049 , 0.000049
0.000093 , 0.000092 , 0.000090 , 0.000091 , 0.000090 , 0.000090 , 0.000091 , 0.000091 , 0.000089 , 0.000090
0.000178 , 0.000171 , 0.000175 , 0.000172 , 0.000173 , 0.000170 , 0.000180 , 0.000171 , 0.000172 , 0.000173
0.000343 , 0.000271 , 0.000109 , 0.000108 , 0.000108 , 0.000108 , 0.000109 , 0.000108 , 0.000108 , 0.000108
0.000213 , 0.000214 , 0.000211 , 0.000211 , 0.000212 , 0.000213 , 0.000218 , 0.000212 , 0.000213 , 0.000213
0.000505 , 0.000589 , 0.000567 , 0.000571 , 0.000564 , 0.000559 , 0.000558 , 0.000532 , 0.000481 , 0.001468
0.000841 , 0.000843 , 0.000855 , 0.000753 , 0.000700 , 0.000763 , 0.000829 , 0.000815 , 0.000749 , 0.000749
0.001608 , 0.001585 , 0.001526 , 0.001541 , 0.001501 , 0.001522 , 0.001490 , 0.001406 , 0.001593 , 0.001513
0.003053 , 0.002784 , 0.002862 , 0.002890 , 0.002824 , 0.003159 , 0.002960 , 0.002877 , 0.002823 , 0.002902
0.006305 , 0.005726 , 0.005594 , 0.005758 , 0.005853 , 0.006344 , 0.005595 , 0.005487 , 0.006177 , 0.005471
0.011226 , 0.010877 , 0.011598 , 0.011740 , 0.011355 , 0.010897 , 0.010854 , 0.012449 , 0.011263 , 0.010868
0.022512 , 0.023686 , 0.022447 , 0.023813 , 0.022736 , 0.023780 , 0.022466 , 0.023025 , 0.023474 , 0.022893
0.047342 , 0.047770 , 0.046872 , 0.046821 , 0.046763 , 0.046837 , 0.046945 , 0.046934 , 0.045942 , 0.046729
0.094126 , 0.093312 , 0.093604 , 0.093530 , 0.093508 , 0.093333 , 0.094128 , 0.093309 , 0.093780 , 0.093253
0.188933 , 0.188847 , 0.188271 , 0.188762 , 0.188147 , 0.188147 , 0.188780 , 0.189184 , 0.189417 , 0.189520
0.374524 , 0.373770 , 0.385602 , 0.386415 , 0.386758 , 0.386348 , 0.401289 , 0.386624 , 0.386431 , 0.375175
0.775090 , 0.775588 , 0.788967 , 0.763137 , 0.753592 , 0.754091 , 0.754808 , 0.753652 , 0.755617 , 0.758865
1.512260 , 1.496015 , 1.496233 , 1.503731 , 1.495677 , 1.506885 , 1.547662 , 1.529383 , 1.498839 , 1.493364
3.019425 , 3.018321 , 3.042102 , 3.026406 , 3.028323 , 3.018296 , 3.032724 , 3.043906 , 3.024237 , 3.013585
6.030074 , 6.135134 , 5.996285 , 5.995159 , 6.056813 , 6.158727 , 5.995721 , 5.997800 , 6.002400 , 5.982484
